NAME;PRODUCT_CODE; PRICE
Aceite Mezcla Siglo de Oro x 900 Ml BUNGE ARGENTINA S.A.;7794870000330;26,45
Aceitunas Verdes En Salmuera Doy Pack x 80 Gr VANOLI Y CIA S.A.;7790127000665;12,63
Arroz Largo Fino 00000 Molinos Ala x 500 Gr ADECO AGRO;7791120031564;10,79
Arroz Largo Fino Condor x 500 Gr MOLINOS RIO DE LA PLATA;7790070415608;10,3
Arroz Largo Fino Integral 00000 Noble Molinos Entrerrianos x 1 Kg COOP. ARROCEROS DE VILLA ELISA;7790203000336;20,4
Arvejas Secas Remojadas Lata Arcor x 300 Gr ARCOR;7790580982102;12,66
Cacao en Polvo Arcor x 360 Gr ARCOR;7790580402907;23,18
Café Instantaneo en Frasco de Vidrio La Morenita x 100 Gr LA VIRGINIA;7790170904767;45,99
Caldo de Verdura Wilde x 12 Un UNILEVER;7794000597723;20,23
Chimichurri Criollo Tradicional Botella x 250 VIA DELICIAS;7790216463081;25,91
Choclo en Granos Amarillo Lata Arcor x 300Gr ARCOR;7790580980009;20,42
Condimento para Arroz La Parmesana x 25 Gr POO ALIMENTOS S.A.;7796373002323;13
Condimento para Pizza Yuspe x 25 Gr JOSE LLENES SACIF;7794980909219;10,85
Condimento Provenzal Yuspe x 25 Gr JOSE LLENES SACIF;7794980938561;13,99
Dulce de Batata Light Emeth Bandeja x 480 Gr DULFIX;7791113006395;42,43
Dulce de Membrillo Light Emeth Bandeja x 480 Gr DULFIX;7791113006401;46,68
Edulcorante en Sobres con Aspartamo Tuy x 100 Un LA VIRGINIA;7790150695944;31,97
Endulzante TUY Líquido 0 Calorías La Virginia x 360 Cc LA VIRGINIA;7790150813188;65,31
Gelatina Cereza Light BC x 20 Gr ARCOR;7790580110635;13,69
Harina de Trigo 000 Boniella x 1Kg MOLINO HJ NAVAS Y CIA SACIA;7798198900013;8,64
Harina de Trigo 000 Caserita x 1 Kg LAGOMARSINO S.A.;7792590000159;13,73
Harina de Trigo 0000 Boniella x 1Kg MOLINO HJ NAVAS Y CIA SACIA;7798198900020;10,54
Harina de Trigo Leudante Boniella x 1Kg MOLINO HJ NAVAS Y CIA SACIA;7798198900037;11,58
Jardinera en Lata 7 Dias x 350 Cc RPB;7790036007717;15,43
Jugo de Limón Botella x 500 Cc VIA DELICIAS;7790216468277;30,99
Jugo de Limón Comensal Botella x 1 Lt FRADEALCO S.A.;7792378002238;56,01
Jugo de Limón Comensal Botella x 500 Cc FRADEALCO S.A.;7792378002221;32,76
Lentejas Secos Remojados Inalpa Lata x 350 Gr INDUSTRIAS ALIMENTICIAS PAVON ARRIBA S.A.;7792350004571;18,62
Mayonesa Light Doy Pack BC La Campagnola x 500 Gr ARCOR;7793360674105;22,45
Mermelada de Durazno Frasco Dulcor x 454 Gr DULCOR;7793046008415;24,62
Mermelada de Durazno Light Frasco Arcor x 390 Gr ARCOR;7790580511302;34,03
Mix de Cereales en Sobre La Parmesana x 100 Gr POO ALIMENTOS S.A.;7796373291000;22,99
Mostaza con Miel La Parmesanax 300 Gr POO ALIMENTOS S.A.;7796373000497;56
Orégano en Bolsa La Parmesana x 25 Gr POO ALIMENTOS S.A.;7796373002385;19,99
Pan Arabe Blanco Bimbo x 230 Gr GRUPO BIMBO;7796989010293;34,66
Pan con Salvado Lactal x 350 grs. GRUPO BIMBO;7793890251081;34,56
Pan de Mesa Lactal x 335 Gr GRUPO BIMBO;7793890250992;31,32
Pan Rallado Plus Mama Cocina x 1 Kg MOLINO CAÑUELAS;7792180004758;42,14
Pan Rallado Vita K Caserita x 1 Kg LAGOMARSINO S.A.;7792590003198;43,98
Polenta Instantánea Del Campo x 500 Gr RIVARA S.A.;7798004720088;12,53
Polvo para Bizcochuelo Libre de Gluten Chocolate Emeth x 500 Gr DULFIX;7791113004384;60,74
Polvo para Bizcochuelo Libre de Gluten Vainilla Emeth x 500 Gr DULFIX;7791113004353;60,74
Polvo para Bizcochuelo Premezcla Vainilla Godet x 480 Gr ARCOR;7790580626419;26,77
Polvo para Mousse Light sabor Dulce de Leche Royal Sobre x 30 Gr MONDELEZ;7622300871802;12,34
Prep. Super Naranja MI-JU 6 x 500 Cc RPB;7790036321127;10,15
Puré de Tomate 7 Días 18 x 210 Gr RPB;7790036008875;7,71
Puré de Tomate Listo Baggio de La Huerta x530 Gr RPB;7790036008868;12,48
Sal Dietética Sabor Ajo en Salero La Parmesana x 50 Gr POO ALIMENTOS S.A.;7796373001425;39,99
Sal Dietética Sabor Apio en Salero La Parmesana x 50 Gr POO ALIMENTOS S.A.;7796373001432;39,99
Sal Dietética Sabor Cebolla en Salero La Parmesana x 50 Gr POO ALIMENTOS S.A.;7796373001449;39,99
Sal Dietética Sin Sabor en Salero La Parmesana x 50 Gr POO ALIMENTOS S.A.;7796373001456;39,99
Sal Entrefina Parrillera Dos Anclas Estuche x500 BS.AS.;7792900092683;9,53
Sal Fina Light Dos Anclas Estuche x 500 Gr CIA.INTRODUCTORA BS.AS.;7792900009124;65,78
Salsa Crema de Ajo Botella x 250 Cc VIA DELICIAS;7790216467386;25,91
Salsa de Pesto en Bolsa La Parmesana x 20 Gr POO ALIMENTOS S.A.;7796373182100;23
Salsa de Soja La Parmesana x 300 Gr POO ALIMENTOS S.A.;7796373002712;49
Salsa Picante Roja La Parmesana x 180 Gr POO ALIMENTOS S.A.;7796373002934;44
Salsa Pomarola Salsati Doy Pack x 340 Gr ARCOR;7793360927508;16,85
Salsa Tipo Vitel Toné DP Línea x 250 Cc VIA DELICIAS;7790216471000;27
Té en Saquitos La Tranquera x 50 Un LLORENTE / KLEÑUK;7790480000456;20,51
Vinagre de Alcohol Comensal Botella x 1 Lt FRADEALCO S.A.;7792378000814;14,72
Vinagre de Manzana Comensal Botella x 500 Cc FRADEALCO S.A.;7792378000869;15,18
Vino Blanco Cavic 12 X 1 Lt RPB;7790036245324;28,38
Vino Tinto Cavic 12 X 1 Lt RPB;7790036246321;37,42
Yerba Mate Bajo Contenido de Polvo Paquete Metalizado Union x 500 Gr ESTABLECIMIENTO LAS MARIAS S.A.;7790387014167;32,15
Yerba Mate Campo Amanda x 1 Kg LA CACHUERA SA;7792710000243;64,59
Yerba Mate con Palo Amanda x 1 Kg LA CACHUERA SA;7792710000014;57,15
Yerba Mate con Palo Junior Rosamonte x 500Gr HREÑUK;7790411000210;29,34
Yerba Mate con Palo Selección Especial La Tranquera x 1 Kg LLORENTE / KLEÑUK;7790480089390;56,92
Yerba Mate con Palo Selección Especial La Tranquera x 500 Gr LLORENTE / KLEÑUK;7790480089383;31,13
Yerba Mate Despalada Rosamonte x 500 Gr HREÑUK;7790411000814;32,11
Yerba Mate Junior Rosamonte x 1 Kg HREÑUK;7790411001545;60,65
Yerba Mate Liviana Taragui x 1 Kg ESTABLECIMIENTO LAS MARIAS S.A.;7790387013511;62,64
Yerba Mate Rosamonte Despalada x 1 Kg HREÑUK;7790411000807;73,02
Yerba Mate Suave Nobleza Gaucha x 500 Gr MOLINOS RIO DE LA PLATA;7790070506696;29,8
Yerba Mate Suave Romance x 1 Kg GERULA S.A.;7790802000164;64,59
Gaseosa Cunnington Cola x 2.25 Lt PRODEA;7790639001976;25,89
Gaseosa Cunnington Lima Limón x 1.50 Lt PRODEA;7790639001662;19,81
Gaseosa Cunnington Lima Limón x 2.25 Lt PRODEA;7790639001365;25,89
Gaseosa de Pomelo Paso de los Toros x 1,5 Lt CERVECERIA Y MALTERIA QUILMES;7791813421412;29,48
Gaseosa Guaraná Zero x 1,5 Lt CERVECERIA Y MALTERIA QUILMES;7792798000852;25,65
Gaseosa Naranja MI-JU 6 x 2250 NF RPB;7790036004471;17,11
Gaseosa Pepsi Black x 1,5 Lt CERVECERIA Y MALTERIA QUILMES;7791813421054;29,2
Gaseosa Sprite Zero x 1.5 Lt COCA COLA;7790895064173;28,63
Jugo en Polvo Manzana BC La Campagnola x8.5 Gr ARCOR;7790580984717;3,25
Jugo Líquido Naranja BC La Campagnola x 1Lt ARCOR;7793360106033;25,76
Cintitas Crocantes Light Tostex x 125 Gr TOSTEX S.A.;7798125810439;15,87
Cintitas Crocantes Tostex con Semillas Tostex x 125 Gr TOSTEX S.A.;7798125810446;15,87
Cintitas Crocantes Tostex Sabor Pizza x 125 Gr TOSTEX S.A.;7798125810385;15,87
Cintitas Crocantes Tostex Sabor Queso x 125 Gr TOSTEX S.A.;7798125810347;15,87
Cintitas Crocantes Tostex Agridulces x 125 Gr TOSTEX S.A.;7798125810422;15,87
Cintitas Crocantes Tostex Clásica x 125 Gr TOSTEX S.A.;7798125810354;15,87
Cintitas Crocantes Tostex Sabor Cebolla x 125 Gr TOSTEX S.A.;7798125810361;15,87
Cintitas Crocantes Tostex Sabor Jamón x 125 Gr TOSTEX S.A.;7798125810521;15,87
Galletita Okebon Leche Chocolatada x 165 Gr ALICORP;7790263110853;13,53
Galletita Okebon Leche con Dulce de Leche x 165 Gr ALICORP;7790263110914;13,53
Galletitas Chips Tubo Tostex x 90 Gr TOSTEX S.A.;7798125810408;8,11
Galletitas Confites Tubo Tostex x 90 Gr TOSTEX S.A.;7798125810415;8,11
Galletitas Dulces con Avena y Chips Chocolate x 300 Gr TOSTEX S.A.;7798125810583;28,09
Galletitas Dulces con Avena y Pasas x 300 Gr TOSTEX S.A.;7798125810590;28,09
Galletitas Dulces con Avena, Naranja y Arándanos x 300 Gr TOSTEX S.A.;7798125810576;28,09
Galletitas Dulces Manón x 178 Gr MONDELEZ;7622300829629;23,5
Galletitas Sabor Chocolate Rellena Vainilla Macucas x 123 Gr ARCOR;7790040174801;9,4
Galletitas Vainilla Vocación Clásicas Pack x 3 Un x 465 Gr ARCOR;7790040177505;20,5
Crema de Leche Tonadita Light x 350 Cc ELCOR S.A.;7798060852143;53,77
Flan Vainilla con Caramelo Ilolay Kids x 110 Gr WILLINNER S.A.;7790787087334;11,19
Flan Vainilla con Dulce de Leche Ilolay Kids x110 Gr WILLINNER S.A.;7790787087341;11,19
Leche Chocolatada 7 Dias x 1 Lt RPB;7790036948348;25,69
Leche Chocolatada 7 Dias x 200 Cc RPB;7790036005324;7
Leche Entera 7 Días 8 x 1000 TS RPB;7790036948317;21,59
Leche Entera UAT Veronica x 1 Lt VERÓNICA S.A.;7794710010017;26,13
Manteca Tonadita Light x 200 Gr ELCOR S.A.;7798060852167;43,7
Postre Sabor Vainilla con Dulce de Leche Shimy x 120 Gr ALIMENTOS REFRIGERADOS S.A.;7790080040890;10,05
Postre Sabor Vainilla Shimy x 120 Gr ALIMENTOS REFRIGERADOS S.A.;7790080040876;10,05
Queso Blanco Light Casancrem x 500 Gr DANONE;7791337011311;67,82
Queso Crema Clásico Casancrem x 500 Gr DANONE;7791337011304;69,56
Queso Cremoso 1/2 Horma La Paulina x 1 Kg MOLFINO HNOS. SA;7794990866175;139,32
Queso Cremoso Horma La Paulina x 1 Kg MOLFINO HNOS. SA;7794990866144;139,32
Queso Cremoso Trozado La Paulina x 1 Kg MOLFINO HNOS. SA;7794990872206;139,32
Queso Mozzarella en Cilindro Doña Aurora x 250 Gr LÁCTEOS AURORA SRL;7798099130045;45,71
Queso Mozzarella en Cilindro Doña Aurora x 500 Gr LÁCTEOS AURORA SRL;7798099130014;84,59
Queso Port Salut 1/2 Horma La Paulina x 1 Kg MOLFINO HNOS. SA;7794990866212;156,6
Queso Port Salut Horma La Paulina x 1 Kg MOLFINO HNOS. SA;7794990866182;156,6
Queso Port Salut Trozado La Paulina x 1 Kg MOLFINO HNOS. SA;7794990871391;156,6
Queso Untable Clásico Veronica x 190 Gr VERÓNICA S.A.;7794710070103;30,89
Yogur Cereales Descremado Yogs Sabor Natural Pote X 162 Gr ALIMENTOS REFRIGERADOS S.A.;7790080067910;25,04
Yogur Entero Sabor Frutilla Yogurisimo Cremix Pack x 120 Gr DANONE;7791337965720;10
Yogur Entero Sabor Multifruta Yogurisimo Cremix Pack X 120 Gr DANONE;7791337999794;10
Yogur Entero Sabor Vainilla Yogurisimo Cremix Pack X 120 Gr DANONE;7791337965713;10
Yogur Frutado Descremado Yogs Sabor Durazno Pote x 180 Gr ALIMENTOS REFRIGERADOS S.A.;7790080065312;28,74
Yogur Frutado Descremado Yogs Sabor Frambuesa, Frutilla y Mora Pote X 180 Gr ALIMENTOS REFRIGERADOS S.A.;7790080065299;28,74
Yogur Frutado Descremado Yogs Sabor Frutilla Pote x 180 Gr ALIMENTOS REFRIGERADOS S.A.;7790080065305;28,74
Yogur Vainilla con Aritos Frutados Ilolay x 160 Gr WILLINNER S.A.;7790787104772;19,08
Yogurisimo Entero Sabor Frutilla Fortificado Firme x 125 Gr DANONE;7791337096080;10
Yogurisimo Entero Sabor Multifruta Fortificado Firme x 125 Gr DANONE;7791337960855;10
Yogurisimo Entero Sabor Vainilla Fortificado Firme x 125 Gr DANONE;7791337960817;10
Acuarela Infantil Pelikan x 6 Pastillas PELIKAN ARGENTINA S.A.;7501015210512;33,48
Adhesivo Sintético Transparente Pelikan x 50 ml PELIKAN ARGENTINA S.A.;7792700002479;15,98
Barra Adhesiva Micro x 8 Gr x 1 Un S. P. PRODUCTOS;7798184715782;10
Bolígrafo Azul Micro x 4 Un S. P. PRODUCTOS;7798000089165;13,99
Bolígrafo Azul Stick 026 1,0 Mm Filgo x 4 Un BENNY PEN ARGENTINA;7795513044780;10,2
Bolígrafo Azul Tinta Semi Gel Pointec Pelikan x 1 Un PELIKAN ARGENTINA S.A.;4012700962522;4,32
Bolígrafo Cristal Dura + Azul Bic x 3 Un BIC;70330139503;29,85
Bolígrafo Cristal Dura + Negro Bic x 3 Un BIC;70330176539;29,85
Bolígrafo Negro Stick 026 1,0 Mm Filgo x 4 Un BENNY PEN ARGENTINA;7795513044773;10,2
Bolígrafo Negro Tinta Semi Gel Pointec Pelikan x 1 Un PELIKAN ARGENTINA S.A.;4012700962539;4,32
Bolígrafo Retráctil Azul Filgo x 1 Un BENNY PEN ARGENTINA;7795513043431;6,97
Bolígrafo Retráctil Negro Filgo x 1 Un BENNY PEN ARGENTINA;7795513043448;6,97
Bolígrafo Rojo Tinta Semi Gel Pointec Pelikan x 1 Un PELIKAN ARGENTINA S.A.;4012700962546;4,32
Cartuchos de Tinta Azul Lavable Pelikan x 6 Un PELIKAN ARGENTINA S.A.;4012700301178;26,78
Cartuchos de Tinta Azul Modelo Europeo Filgo Pack x 6 Un BENNY PEN ARGENTINA;7795513043592;8,62
Goma Lápiz En Flow Pack x 2 Un S. P. PRODUCTOS;7798314120851;8,98
Fideos Mostacholes Manera x 500 Gr MOLINOS RIO DE LA PLATA;7791110001874;11,57
Fideos Secos Codito San Agustín x 500 Gr MOLINO CAÑUELAS;7792180004963;11
Fideos Secos San Agustín Tirabuzón x 500 Gr MOLINO CAÑUELAS;7792180004949;11
Fideos Secos Tirabuzón Fortificado Nutregal x 500 Gr ALICORP;7792550709351;14,99
Fideos Tallarines Manera x 500 Gr MOLINOS RIO DE LA PLATA;7791110003069;11,57
Tallarín Fortificado Nutregal x 500 Gr ALICORP;7792550709443;14,99
Tapa para Empanadas Criollas Anthony x 330 Gr PIPACO SRL;7795915000094;15,12
Tapas de Empanadas Light x 12 Un (330 grs) LA SALTEÑA SA;7790236001140;29,93
Tapas para Empanadas Hojaldre Fargo 16 Un x 453 Gr GRUPO BIMBO;7793890001563;27,04
Acondicionador con Extracto de Seda Brillo Intenso Duc x 350 Ml JOSÉ GUMA;7790828001800;54,02
Acondicionador con Extracto de Seda Frizz Out con Bio Serum Duc x 350 Ml JOSÉ GUMA;7790828001787;54,02
Acondicionador con Extracto de Seda Hidratación Revitalizante Duc x 350 Ml JOSÉ GUMA;7790828104228;54,02
Acondicionador con Extracto de Seda Liso Radiante Duc x 350 Ml JOSÉ GUMA;7790828104198;54,02
Acondicionador con Extracto de Seda Rizos Perfectos Duc x 350 Ml JOSÉ GUMA;7790828104204;54,02
Acondicionador DP Coco & Miel Algabo Natural x 300 Ml. ALGABO S.A.;7791274196997;24,3
Acondicionador Herbal Essences Prolóngalo x 300 Ml PROCTER & GAMBLE;7506195110171;53,5
Acondicionador Plusbelle Antioxidante x 1 Lt ALICORP;7790740502485;50,35
