name;address;latitude;longitude;city;province;country
Chango Mas;Avenida Juan B. Justo 1900;-42.784992131169275;-65.03411650657652;PUERTO MADRYN;CHUBUT;ARGENTINA
Carrefour;28 de Julio 136;-42.76651702616842;-65.03548979759216;PUERTO MADRYN;CHUBUT;ARGENTINA
Supermercado Vea;Belgrano 372;-42.76858058922101;-65.03806471824645;PUERTO MADRYN;CHUBUT;ARGENTINA
Frutillita;Francisco Luis Albarracin 2179;-42.780883; -65.056154;PUERTO MADRYN;CHUBUT;ARGENTINA
Carrefour Express;Luis Piedrabuena y Av Gales;-42.775541; -65.048516;PUERTO MADRYN;CHUBUT;ARGENTINA
La Anonima;Jujuy 1330;-42.781322749343865;-65.03746390342712;PUERTO MADRYN;CHUBUT;ARGENTINA
Supermercado Clemente;Constituyentes Provinciales 800;-42.781960; -65.056915;PUERTO MADRYN;CHUBUT;ARGENTINA
Lara S.A Mayorista Golosinas;Luis Piedrabuena 445;-42.773996; -65.049304;PUERTO MADRYN;CHUBUT;ARGENTINA
Patagonia Sin Tacc;Reconquista 526;-42.772599; -65.042068;PUERTO MADRYN;CHUBUT;ARGENTINA
Supermercado Holas;Av Julio Argentino Roca 1970;-42.782212; -65.023298;PUERTO MADRYN;CHUBUT;ARGENTINA
Veterino;Soldado Desconocido 1059;-42.784163; -65.056724;PUERTO MADRYN;CHUBUT;ARGENTINA
Autoservicio Fontana Express; Francisco Luis Albarracin 1931;-42.780646;-65.055477;PUERTO MADRYN;CHUBUT;ARGENTINA
La Anonima;Fuerte San Jose 184;-42.76702110898453;-65.04291415214537;PUERTO MADRYN;CHUBUT;ARGENTINA
La Anonima;Avenida Hipolito Yrigoyen 76;-42.76451640704736;-65.03570437431335;PUERTO MADRYN;CHUBUT;ARGENTINA
