NAME;PRODUCT_CODE
Aceite Mezcla Siglo de Oro x 900 Ml BUNGE ARGENTINA S.A.;7794870000330
Aceitunas Verdes En Salmuera Doy Pack x 80 Gr VANOLI Y CIA S.A.;7790127000665
Arroz Largo Fino 00000 Molinos Ala x 500 Gr ADECO AGRO;7791120031564
Arroz Largo Fino Condor x 500 Gr MOLINOS RIO DE LA PLATA;7790070415608
Arroz Largo Fino Integral 00000 Noble Molinos Entrerrianos x 1 Kg COOP. ARROCEROS DE VILLA ELISA;7790203000336
Arvejas Secas Remojadas Lata Arcor x 300 Gr ARCOR;7790580982102
Cacao en Polvo Arcor x 360 Gr ARCOR;7790580402907
Café Instantaneo en Frasco de Vidrio La Morenita x 100 Gr LA VIRGINIA;7790170904767
Caldo de Verdura Wilde x 12 Un UNILEVER;7794000597723
Chimichurri Criollo Tradicional Botella x 250 VIA DELICIAS;7790216463081
Choclo en Granos Amarillo Lata Arcor x 300Gr ARCOR;7790580980009
Condimento para Arroz La Parmesana x 25 Gr POO ALIMENTOS S.A.;7796373002323
Condimento para Pizza Yuspe x 25 Gr JOSE LLENES SACIF;7794980909219
Condimento Provenzal Yuspe x 25 Gr JOSE LLENES SACIF;7794980938561
Dulce de Batata Light Emeth Bandeja x 480 Gr DULFIX;7791113006395
Dulce de Membrillo Light Emeth Bandeja x 480 Gr DULFIX;7791113006401
Edulcorante en Sobres con Aspartamo Tuy x 100 Un LA VIRGINIA;7790150695944
Endulzante TUY Líquido 0 Calorías La Virginia x 360 Cc LA VIRGINIA;7790150813188
Gelatina Cereza Light BC x 20 Gr ARCOR;7790580110635
Harina de Trigo 000 Boniella x 1Kg MOLINO HJ NAVAS Y CIA SACIA;7798198900013
Harina de Trigo 000 Caserita x 1 Kg LAGOMARSINO S.A.;7792590000159
Harina de Trigo 0000 Boniella x 1Kg MOLINO HJ NAVAS Y CIA SACIA;7798198900020
Harina de Trigo Leudante Boniella x 1Kg MOLINO HJ NAVAS Y CIA SACIA;7798198900037
Jardinera en Lata 7 Dias x 350 Cc RPB;7790036007717
Jugo de Limón Botella x 500 Cc VIA DELICIAS;7790216468277
Jugo de Limón Comensal Botella x 1 Lt FRADEALCO S.A.;7792378002238
Jugo de Limón Comensal Botella x 500 Cc FRADEALCO S.A.;7792378002221
Lentejas Secos Remojados Inalpa Lata x 350 Gr INDUSTRIAS ALIMENTICIAS PAVON ARRIBA S.A.;7792350004571
Mayonesa Light Doy Pack BC La Campagnola x 500 Gr ARCOR;7793360674105
Mermelada de Durazno Frasco Dulcor x 454 Gr DULCOR;7793046008415
Mermelada de Durazno Light Frasco Arcor x 390 Gr ARCOR;7790580511302
Mix de Cereales en Sobre La Parmesana x 100 Gr POO ALIMENTOS S.A.;7796373291000
Mostaza con Miel La Parmesanax 300 Gr POO ALIMENTOS S.A.;7796373000497
