NOMBRE,DIRECCION,LATITUD,LONGITUD,CIUDAD,PROVINCIA,PAIS
La Anonima,Yrigoyen 76 y 25 de Mayo,-42.7646463,-65.0349625,PUERTO MADRYN,CHUBUT,ARGENTINA
Chango Mas,Juan B Justo 1885,-42.7847881,-65.0327662,PUERTO MADRYN,CHUBUT,ARGENTINA
Carrefour,Av Gales 1315,-42.7754822,-65.0487155,PUERTO MADRYN,CHUBUT,ARGENTINA
Supermercado Vea,Manuel Belgrano 370,-42.7682944,-65.0383914,PUERTO MADRYN,CHUBUT,ARGENTINA
Frutillita,Francisco Luis Albarracin 2179,-42.7815649,-65.0625841,PUERTO MADRYN,CHUBUT,ARGENTINA
Carrefour Express,Luis Piedrabuena y Av Gales,-42.7772811,-65.0488298,PUERTO MADRYN,CHUBUT,ARGENTINA
La Anonima,Jujuy 1330,-42.7805146,-65.0447228,PUERTO MADRYN,CHUBUT,ARGENTINA
Supermercado Clemente,Marcelo T de Alvear 2561,-42.7873708,-65.0292663,PUERTO MADRYN,CHUBUT,ARGENTINA
Lara S.A Mayorista Golosinas,Luis Piedrabuena 445,-42.7740793,-65.0491849,PUERTO MADRYN,CHUBUT,ARGENTINA
Patagonia Sin Tacc,Reconquista 526,-42.7773024,-65.0043724,PUERTO MADRYN,CHUBUT,ARGENTINA
Supermercado Holas,Av Julio Argentino Roca 1970,-42.7825763,-65.0240565,PUERTO MADRYN,CHUBUT,ARGENTINA
Veterino,Soldado Desconocido 1059,-42.7841035,-65.0592667,PUERTO MADRYN,CHUBUT,ARGENTINA
